=== Grid Search Results: abalone ===

Best Parameters: C=1000, lambda=0.1
Best Accuracy: 0.7679

All Results:
----------------------------------------
C          Lambda     Accuracy  
----------------------------------------
1000       0.1        0.7679
1000       0.001      0.7620
1000       0.01       0.7500
1000       1          0.7476
1000       10         0.7189
100        0.1        0.7117
100        0.01       0.7093
100        0.001      0.6938
100        1          0.6914
1000       100        0.6411
100        10         0.6364
10         0.001      0.6184
10         0.1        0.6136
10         0.01       0.6124
10         1          0.5909
1          0.001      0.5694
100        100        0.5658
1          0.01       0.5610
1000       1000       0.5514
10         10         0.5359
1          0.1        0.5311
1          1          0.5179
100        1000       0.5156
10         100        0.5060
0.001      0.001      0.5024
0.001      0.01       0.5024
0.001      0.1        0.5024
0.001      1          0.5024
0.001      10         0.5024
0.001      100        0.5024
0.001      1000       0.5024
0.01       0.001      0.5024
0.01       0.01       0.5024
0.01       0.1        0.5024
0.01       1          0.5024
0.01       10         0.5024
0.01       100        0.5024
0.01       1000       0.5024
0.1        0.001      0.5024
0.1        0.01       0.5024
0.1        0.1        0.5024
0.1        1          0.5024
0.1        10         0.5024
0.1        100        0.5024
0.1        1000       0.5024
1          10         0.5024
1          100        0.5024
1          1000       0.5024
10         1000       0.5024
