=== Grid Search Results: blobs_3d ===

Best Parameters: C=0.001, lambda=0.001
Best Accuracy: 1.0000

All Results:
----------------------------------------
C          Lambda     Accuracy  
----------------------------------------
0.001      0.001      1.0000
0.01       0.001      1.0000
0.01       0.01       1.0000
0.1        0.001      1.0000
0.1        0.01       1.0000
0.1        0.1        1.0000
1          0.001      1.0000
1          0.01       1.0000
1          0.1        1.0000
1          1          1.0000
1          10         1.0000
10         0.001      1.0000
10         0.01       1.0000
10         0.1        1.0000
10         1          1.0000
10         10         1.0000
10         100        1.0000
100        0.001      1.0000
100        0.01       1.0000
100        0.1        1.0000
100        1          1.0000
100        10         1.0000
100        100        1.0000
100        1000       1.0000
1000       0.001      1.0000
1000       0.01       1.0000
1000       0.1        1.0000
1000       1          1.0000
1000       10         1.0000
1000       100        1.0000
1000       1000       1.0000
0.1        1          0.5750
0.001      0.01       0.5000
0.001      0.1        0.5000
0.001      1          0.5000
0.001      10         0.5000
0.001      100        0.5000
0.001      1000       0.5000
0.01       0.1        0.5000
0.01       1          0.5000
0.01       10         0.5000
0.01       100        0.5000
0.01       1000       0.5000
0.1        10         0.5000
0.1        100        0.5000
0.1        1000       0.5000
1          100        0.5000
1          1000       0.5000
10         1000       0.5000
