=== Grid Search Results: breast_cancer ===

Best Parameters: C=10, lambda=0.001
Best Accuracy: 0.9825

All Results:
----------------------------------------
C          Lambda     Accuracy  
----------------------------------------
10         0.001      0.9825
1          0.01       0.9737
10         1          0.9737
1000       0.001      0.9737
100        0.001      0.9649
100        0.1        0.9649
10         0.01       0.9561
10         0.1        0.9561
100        0.01       0.9561
1000       0.01       0.9561
1          0.001      0.9474
10         10         0.9474
100        1          0.9474
1000       0.1        0.9474
1000       1          0.9474
1          0.1        0.9298
0.1        0.001      0.9035
10         100        0.9035
100        10         0.8947
100        1000       0.8772
1000       10         0.8684
100        100        0.8509
1          1          0.8333
1          10         0.8158
0.1        0.01       0.8070
10         1000       0.8070
1000       1000       0.8070
1000       100        0.7719
0.01       0.001      0.7632
0.1        0.1        0.5614
0.001      0.001      0.3684
0.001      0.01       0.3684
0.001      0.1        0.3684
0.001      1          0.3684
0.001      10         0.3684
0.001      100        0.3684
0.001      1000       0.3684
0.01       0.01       0.3684
0.01       0.1        0.3684
0.01       1          0.3684
0.01       10         0.3684
0.01       100        0.3684
0.01       1000       0.3684
0.1        1          0.3684
0.1        10         0.3684
0.1        100        0.3684
0.1        1000       0.3684
1          100        0.3684
1          1000       0.3684
