=== Grid Search Results: heart ===

Best Parameters: C=10, lambda=0.1
Best Accuracy: 0.8525

All Results:
----------------------------------------
C          Lambda     Accuracy  
----------------------------------------
10         0.1        0.8525
1000       0.01       0.8525
10         0.01       0.8197
100        0.1        0.8197
1000       0.001      0.8197
1          0.001      0.8033
1          0.01       0.8033
100        0.001      0.8033
100        0.01       0.8033
1          0.1        0.7869
1000       0.1        0.7869
1000       1          0.7705
1          10         0.7541
0.1        0.01       0.7377
10         0.001      0.7377
0.1        0.001      0.7213
1          1          0.7213
10         1          0.7213
10         100        0.7049
100        1000       0.7049
100        1          0.6885
100        10         0.6885
10         10         0.6721
100        100        0.6721
1000       1000       0.6557
10         1000       0.6066
1000       10         0.5738
1000       100        0.5574
0.001      0.001      0.5410
0.001      0.01       0.5410
0.001      0.1        0.5410
0.001      1          0.5410
0.001      10         0.5410
0.001      100        0.5410
0.001      1000       0.5410
0.01       0.001      0.5410
0.01       0.01       0.5410
0.01       0.1        0.5410
0.01       1          0.5410
0.01       10         0.5410
0.01       100        0.5410
0.01       1000       0.5410
0.1        0.1        0.5410
0.1        1          0.5410
0.1        10         0.5410
0.1        100        0.5410
0.1        1000       0.5410
1          100        0.5410
1          1000       0.5410
