=== Grid Search Results: ionosphere ===

Best Parameters: C=1000, lambda=0.1
Best Accuracy: 0.9296

All Results:
----------------------------------------
C          Lambda     Accuracy  
----------------------------------------
1000       0.1        0.9296
10         1          0.9155
100        0.01       0.9155
100        1          0.9014
1          0.01       0.8873
10         0.1        0.8873
100        0.1        0.8873
1000       0.001      0.8873
1000       1          0.8873
10         0.001      0.8732
10         0.01       0.8732
100        0.001      0.8732
1          0.001      0.8592
1          0.1        0.8592
1000       0.01       0.8592
0.1        0.001      0.7465
1          1          0.7465
10         10         0.7324
100        10         0.7324
1000       10         0.7042
100        100        0.6901
100        1000       0.6761
1000       100        0.6761
1000       1000       0.6761
10         100        0.6620
0.01       0.001      0.6056
0.1        0.01       0.5634
0.01       0.01       0.3662
0.1        0.1        0.3662
0.001      0.001      0.3521
0.001      0.01       0.3521
0.001      0.1        0.3521
0.001      1          0.3521
0.001      10         0.3521
0.001      100        0.3521
0.001      1000       0.3521
0.01       0.1        0.3521
0.01       1          0.3521
0.01       10         0.3521
0.01       100        0.3521
0.01       1000       0.3521
0.1        1          0.3521
0.1        10         0.3521
0.1        100        0.3521
0.1        1000       0.3521
1          10         0.3521
1          100        0.3521
1          1000       0.3521
10         1000       0.2676
