=== Grid Search Results: liver ===

Best Parameters: C=100, lambda=0.001
Best Accuracy: 0.9710

All Results:
----------------------------------------
C          Lambda     Accuracy  
----------------------------------------
100        0.001      0.9710
100        0.01       0.9710
100        0.1        0.9710
1000       0.01       0.9710
1000       0.1        0.9710
1000       1          0.9710
1000       10         0.9710
10         0.1        0.9565
100        1          0.9565
100        10         0.9565
1000       0.001      0.9565
1000       100        0.9565
10         0.001      0.8986
10         1          0.8986
10         0.01       0.8841
10         10         0.6667
100        100        0.6667
1000       1000       0.6667
1          0.001      0.6232
1          0.1        0.5652
1          0.01       0.5507
1          1          0.4493
0.1        0.001      0.4058
0.01       0.001      0.1884
0.1        0.01       0.1884
10         100        0.1449
100        1000       0.0870
0.001      0.001      0.0725
0.01       0.01       0.0435
0.1        0.1        0.0435
1          10         0.0435
0.001      0.01       0.0290
0.001      0.1        0.0290
0.001      1          0.0290
0.001      10         0.0290
0.001      100        0.0290
0.001      1000       0.0290
0.01       0.1        0.0290
0.01       1          0.0290
0.01       10         0.0290
0.01       100        0.0290
0.01       1000       0.0290
0.1        1          0.0290
0.1        10         0.0290
0.1        100        0.0290
0.1        1000       0.0290
1          100        0.0290
1          1000       0.0290
10         1000       0.0290
