=== Grid Search Results: moons ===

Best Parameters: C=10, lambda=0.001
Best Accuracy: 0.9750

All Results:
----------------------------------------
C          Lambda     Accuracy  
----------------------------------------
10         0.001      0.9750
10         0.01       0.9750
10         0.1        0.9750
100        0.001      0.9750
100        0.01       0.9750
100        0.1        0.9750
100        10         0.9750
1000       0.001      0.9750
1000       0.01       0.9750
1000       0.1        0.9750
1000       1          0.9750
1000       10         0.9750
1000       100        0.9750
10         1          0.9500
100        1          0.9500
1          0.001      0.9250
1          0.1        0.9250
1          0.01       0.9000
0.1        0.001      0.8000
10         10         0.7750
100        100        0.7750
1000       1000       0.6500
0.001      0.001      0.5000
0.001      0.01       0.5000
0.001      0.1        0.5000
0.001      1          0.5000
0.001      10         0.5000
0.001      100        0.5000
0.001      1000       0.5000
0.01       0.001      0.5000
0.01       0.01       0.5000
0.01       0.1        0.5000
0.01       1          0.5000
0.01       10         0.5000
0.01       100        0.5000
0.01       1000       0.5000
0.1        0.01       0.5000
0.1        0.1        0.5000
0.1        1          0.5000
0.1        10         0.5000
0.1        100        0.5000
0.1        1000       0.5000
1          1          0.5000
1          10         0.5000
1          100        0.5000
1          1000       0.5000
10         100        0.5000
10         1000       0.5000
100        1000       0.5000
