=== Grid Search Results: spambase ===

Best Parameters: C=100, lambda=0.01
Best Accuracy: 0.9359

All Results:
----------------------------------------
C          Lambda     Accuracy  
----------------------------------------
100        0.01       0.9359
100        0.001      0.9338
100        0.1        0.9283
1000       0.1        0.9207
10         0.001      0.9153
1000       0.01       0.9153
1000       0.001      0.9121
10         0.1        0.9099
10         1          0.9088
100        1          0.9077
10         0.01       0.9034
1000       1          0.8730
10         10         0.8675
10         100        0.8306
1          0.01       0.8263
100        10         0.8198
1          0.001      0.8187
100        1000       0.8154
100        100        0.7948
1000       1000       0.7883
1          0.1        0.7828
0.1        0.001      0.7698
1000       10         0.7622
1          1          0.7579
10         1000       0.7579
0.1        0.01       0.7405
1000       100        0.7383
0.1        0.1        0.7003
1          10         0.6721
0.01       0.001      0.6482
1          100        0.6145
0.001      0.001      0.6069
0.01       0.01       0.6069
0.001      0.01       0.6059
0.001      0.1        0.6059
0.001      1          0.6059
0.001      10         0.6059
0.001      100        0.6059
0.001      1000       0.6059
0.01       0.1        0.6059
0.01       1          0.6059
0.01       10         0.6059
0.01       100        0.6059
0.01       1000       0.6059
0.1        1          0.6059
0.1        10         0.6059
0.1        100        0.6059
0.1        1000       0.6059
1          1000       0.6059
