=== Grid Search Results: statlog_heart ===

Best Parameters: C=10, lambda=0.1
Best Accuracy: 0.8704

All Results:
----------------------------------------
C          Lambda     Accuracy  
----------------------------------------
10         0.1        0.8704
1000       0.01       0.8148
1000       0.1        0.8148
1          0.001      0.7963
1          0.1        0.7963
10         0.001      0.7963
100        0.001      0.7963
0.1        0.01       0.7778
1          0.01       0.7778
10         1          0.7778
100        0.01       0.7778
100        0.1        0.7778
0.1        0.001      0.7593
10         0.01       0.7593
1000       0.001      0.7407
1000       1          0.7407
10         10         0.7222
100        1          0.7222
10         100        0.7037
100        100        0.7037
1000       1000       0.7037
0.01       0.001      0.6667
100        1000       0.6667
1          1          0.6481
100        10         0.6481
1000       10         0.6481
1000       100        0.6111
10         1000       0.5741
0.001      0.001      0.5556
0.001      0.01       0.5556
0.001      0.1        0.5556
0.001      1          0.5556
0.001      10         0.5556
0.001      100        0.5556
0.001      1000       0.5556
0.01       0.01       0.5556
0.01       0.1        0.5556
0.01       1          0.5556
0.01       10         0.5556
0.01       100        0.5556
0.01       1000       0.5556
0.1        0.1        0.5556
0.1        1          0.5556
0.1        10         0.5556
0.1        100        0.5556
0.1        1000       0.5556
1          10         0.5556
1          100        0.5556
1          1000       0.5556
