=== Grid Search Results: votes ===

Best Parameters: C=0.1, lambda=0.001
Best Accuracy: 0.9425

All Results:
----------------------------------------
C          Lambda     Accuracy  
----------------------------------------
0.1        0.001      0.9425
1          0.01       0.9310
10         1          0.9310
100        0.01       0.9310
1          0.001      0.9195
10         0.001      0.9195
10         0.1        0.9195
100        0.001      0.9195
100        0.1        0.9195
1000       0.001      0.9195
1000       0.01       0.9195
1000       0.1        0.9195
10         0.01       0.9080
0.1        0.01       0.8966
1          0.1        0.8966
100        1          0.8966
100        10         0.8851
10         10         0.8736
1000       1          0.8736
1          1          0.8506
100        100        0.8506
0.01       0.001      0.8391
0.1        0.1        0.8391
1000       1000       0.8391
1000       100        0.8161
1000       10         0.8046
10         100        0.7586
100        1000       0.7471
1          10         0.7241
10         1000       0.6322
0.001      0.001      0.6092
0.001      0.01       0.6092
0.001      0.1        0.6092
0.001      1          0.6092
0.001      10         0.6092
0.001      100        0.6092
0.001      1000       0.6092
0.01       0.01       0.6092
0.01       0.1        0.6092
0.01       1          0.6092
0.01       10         0.6092
0.01       100        0.6092
0.01       1000       0.6092
0.1        1          0.6092
0.1        10         0.6092
0.1        100        0.6092
0.1        1000       0.6092
1          100        0.6092
1          1000       0.6092
