=== Grid Search Results: wbcd ===

Best Parameters: C=1, lambda=0.001
Best Accuracy: 0.9737

All Results:
----------------------------------------
C          Lambda     Accuracy  
----------------------------------------
1          0.001      0.9737
1          0.01       0.9649
10         0.001      0.9649
10         0.01       0.9649
1000       0.001      0.9649
1000       0.01       0.9649
0.1        0.001      0.9561
10         0.1        0.9561
10         1          0.9561
100        0.001      0.9474
0.01       0.001      0.9386
0.1        0.01       0.9386
1          0.1        0.9386
100        0.1        0.9386
1000       0.1        0.9386
1          1          0.9298
10         100        0.9298
10         1000       0.9298
100        0.01       0.9298
100        1          0.9298
10         10         0.9211
1000       1          0.9123
0.1        0.1        0.8947
100        1000       0.8772
1          10         0.8684
100        10         0.8333
1000       1000       0.8246
100        100        0.8070
1000       10         0.7982
0.01       0.01       0.7719
1000       100        0.6754
0.001      0.01       0.6491
0.1        1          0.6491
0.001      0.001      0.6316
0.001      0.1        0.6316
0.001      1          0.6316
0.001      10         0.6316
0.001      100        0.6316
0.001      1000       0.6316
0.01       0.1        0.6316
0.01       1          0.6316
0.01       10         0.6316
0.01       100        0.6316
0.01       1000       0.6316
0.1        10         0.6316
0.1        100        0.6316
0.1        1000       0.6316
1          100        0.6316
1          1000       0.6316
