=== Grid Search Results: wbcp ===

Best Parameters: C=1, lambda=0.01
Best Accuracy: 0.8000

All Results:
----------------------------------------
C          Lambda     Accuracy  
----------------------------------------
1          0.01       0.8000
1000       0.001      0.8000
0.001      0.001      0.7750
0.001      0.01       0.7750
0.001      0.1        0.7750
0.001      1          0.7750
0.001      10         0.7750
0.001      100        0.7750
0.001      1000       0.7750
0.01       0.001      0.7750
0.01       0.01       0.7750
0.01       0.1        0.7750
0.01       1          0.7750
0.01       10         0.7750
0.01       100        0.7750
0.01       1000       0.7750
0.1        0.001      0.7750
0.1        0.1        0.7750
0.1        1          0.7750
0.1        10         0.7750
0.1        100        0.7750
0.1        1000       0.7750
1          10         0.7750
1          100        0.7750
1          1000       0.7750
0.1        0.01       0.7500
1          0.001      0.7500
1          1          0.7500
10         0.001      0.7500
10         0.01       0.7500
100        0.1        0.7500
1          0.1        0.7250
10         0.1        0.7250
1000       0.01       0.7250
1000       0.1        0.7250
100        0.001      0.7000
100        0.01       0.6750
10         1          0.5750
1000       1          0.5500
100        1          0.5250
10         1000       0.5000
10         100        0.4250
10         10         0.3500
1000       10         0.2750
100        10         0.2500
100        100        0.2250
100        1000       0.2250
1000       100        0.2250
1000       1000       0.2250
